,Location
3285,"Winters, CA"
3286,Astro
3287,"Kolkata, India"
3288,", "
3289,"Groblersdal, South Africa"
3290,sleeping 🤗
3291,"Washington, D.C."
3292,"New Orleans, LA"
3293,MS Gulf Coast
3294,Eastern Cape
3295,"Roswell, NM"
3296,"s heart // she/her"", "
3297,Lagos 
3298,"ya dreams , TX"
3299,"Georgia, USA"
3300,Canada
3301,AWAKE
3302,"Attleboro, MA"
3303,"New York, USA"
3304,"Philadelphia, PA"
3305,Under a Cloud
3306,Indonesia
3307,"Bangalore, INDIA"
3308,Hoひ$ton
3309,"Queens, NY"
3310,Parts Unknown
3311,"Mason, OH"
3312,The 3
3313,World
3314,The Zone
3315,colombia
3316,SF Bay Area-Boston transplant
3317,waco 
3318,الرياض
3319,"Dubai, United Arab Emirates"
3320,Philadelphia PA
3321,they/she | 19
3322,London
3323,Planet Earth
3324,"Florida, USA"
3325,Ghana 🇬🇭
3326,"Sunnyside, Houston"
3327,Somewhere in Arizona
3328,Southern US
3329,scv (unfortunately)
3330,Perc 50 
3331,Somewhere cold - Literally!
3332,"Atlanta, GA"
3333,"Maryland, USA"
3334,"Brookeville, MD"
3335,your TL
3336,United States
3337,pgh. pa
3338, north carolina
3339,Shimmy fade KOBE!!!!
3340,new delhi
3341,USA
3342,"Bonn, Germany"
3343,UK + Worldwide
3344,"Greater Accra, Ghana"
3345,NYC
3346,"California, USA"
3347,Near Paradise
3348,"Ibhayi, South Africa"
3349,United States
3350,"New Delhi, India"
3351,United States
3352,wishing i was in outer banks
3353,MW2 gt-Zero Swingss
3354,"Attleboro, MA"
3355,London
3356,"Texas, USA"
3357,"Hyderabad, India"
3358,Bharat
3359,"Golden, CO"
3360,"Hyderabad, India"
3361,Space Coast
3362,"Ottawa, Ontario"
3363,"Kano, Nigeria"
3364,Everywhere
3365,Ooo-S-A
3366,"Nairobi, Kenya"
3367,Citizen of Mother 🌏 
3368,"Derry, North Of Ireland"
3369,ϻɑяʑ 
3370,India
3371,"west of edmonton, "
3372,Bay Area / San Deezy / PDX
3373,"Lagos, Nigeria"
3374,"Accra, Ghana"
3375,"d"", "
3376,Bharat
3377,"Kota Surabaya, Jawa Timur"
3378,"İstanbul, Türkiye"
3379,"Arizona, USA"
3380,"Orlando, Florida."
3381,Tennessee
3382,Lagos 
3383,Nigeria
3384,Indonesia
3385,USA- not done for yet... 
3386,"Thornton, CO"
3387,"South Dublin, Ireland"
3388,"London, England"
3389,"Weslaco, TX"
3390,3rd Rock from the Sun
3391,"Texas, USA"
3392,"Boise, ID"
3393,Wakanda
3394,Cloud 12
3395,Nebraska USA
3396,"Brooklyn, NY"
3397,"Petawawa, Ontario"
3398,"Nairobi, Kenya"
3399,"Brighton, England"
3400,"Houston, Texas"
3401,Queen👸|HappyLand🌹|May23Babie
3402,"Hell, MI"
3403,"Washington, DC"
3404,"South Perry ,Ohio"
3405,"Langley, British Columbia"
3406,"Windhoek, Namibia"
3407,New York
3408,BX
3409,Nagpur
3410,"Lagos, Nigeria "
3411,"Karachi, Pakistan"
3412,Queenstown | Port Elizabeth
3413,"Wien, Österreich"
3414,ft onewe mx vav
3415,🔞 🔞 🔞 🔞 🔞 🔞
3416,chi town my kind of town!
3417,Texas
3418,"Awka, Nigeria"
3419,"Azusa, Ca"
3420,TX
3421,bts + loona
3422,Erie Michigan 
3423,Texas 
3424,North Miami Beach 
3425,Outchea over yonder georgia 
3426,"New Delhi, India"
3427,Africa
3428,Windhoek
3429,Earth
3430,"Attleboro, MA"
3431,"s House "", "
3432,Citizen of the World
3433,"Lisboa, Portugal"
3434,London
3435,"Melbourne, Victoria"
3436,", "
3437,"Attleboro, MA"
3438,they/them 
3439,Home 
3440,"Canvey Island, East"
3441,"Charlotte, NC"
3442,United Kingdom
3443,"Council Bluffs, IA"
3444,"East London, South Africa"
3445,Oregon Coast
3446,everywhere
3447,"Elkton, MD"
3448,"Oak Harbor, WA"
3449,United States of America
3450,Baltimore Iraq 
3451,New Zealand
3452,"California, USA"
3453,PE || EL
3454,United States
3455,she/her
3456,"Westerlo, België"
3457,"Madina, Ghana"
3458,USA
3459,"Texas, USA"
3460,"Three Hills, Alberta"
3461,"Attleboro, MA"
3462,"Miami, FL"
3463,"Oregon, USA"
3464,South Africa
3465,Africa
3466,India
3467,United States
3468,Saudi Arab jadda
3469,"Coral Springs, Fl "
3470,"London, England"
3471,"Atlanta, GA"
3472,"San Diego, CA"
3473,"Kaduna, Nigeria"
3474,India
3475,"Utah, USA"
3476,Canada
3477,bharat
3478,Essex UK
3479,San Francisco Bay Area
3480,moonriver
3481,koln berlin amsterdam maastric
3482,United States
3483,Yeet
3484,Nigeria
3485,"Detroit, MI"
3486,"Indore, India"
3487,YOGYAKARTA 
3488,Jotunheim
3489,chai ke nashe
3490,We going ✈️ Big Brother?
3491,The Past
3492,"Berkeley, CA"
3493,"Cape Coast, Ghana"
3494,Canada
3495,"Granbury, TX"
3496,"UTH|CPT, South Africa"
3497,"Kumasi, Ghana"
3498,SATX
3499,"Accra, Ghana"
3500,- 3°43
3501,"tally,fl"
3502,"Los Angeles, CA"
3503,Namibia
3504,"New York, New York"
3505,"Kumasi, Ghana"
3506,USA
3507,"London, England"
3508,"Philadelphia, PA"
3509,God’s Green Earth 🌳
3510,India
3511,Santa Destroy
3512,"Hull, England"
3513,"عسير, المملكة العربية السعودية"
3514,"San Diego, CA"
3515,"Chandler, AZ"
3516,India
3517,Shanghai
3518,"لاہور, پاکستان"
3519,Ghana
3520,The South
3521,ડꫀꪑꪖ𝕣ꪖꪀᧁ - ⅈꪀᦔꪮꪀꫀડⅈꪖ
3522,Bombay
3523,Colorado
3524,"Florida, USA"
3525,Vienna
3526,"Charlotte, NC"
3527,"New Jersey, USA"
3528,हिंदुस्तान
3529,"Ladenburg, Deutschland"
3530,NW WI
3531,"Wadesboro, NC"
3532,USA
3533,"Bengaluru, India🇮🇳🇮🇳"
3534,TURN ON POST NOTIFICATIONS
3535,Scotland
3536,Trichy
3537,she/her
3538,🇰🇼•🇦🇪 
3539,", "
3540,Estonia
3541,"Phoenix, AZ"
3542,"Durban, South Africa"
3543,www.akidwa.ie 
3544,YNK
3545,society
3546,Ghana
3547,Pakistan
3548,cold ass norway
3549,Pleiadian Starseed
3550,India
3551,"Bengaluru, India"
3552,Africa🌍
3553,"Bengaluru, India"
3554,she/her
3555,somewhere with palm trees 
3556,Taifa Boy⚠️
3557,"Far, far away"
3558,"Sydney, New South Wales"
3559,England
3560,konoha
3561,"Westmont, IL"
3562,Milky Way
3563,stratosphere
3564,"San Diego, CA"
3565,South Africa
3566, Nigeria
3567,massachusetts 🐙\U0001f995
3568,Leith
3569,"Pennsylvania, USA"
3570,United States
3571,bristol
3572,A last leap
3573,"Manchester, England"
3574,"North Carolina, USA"
3575,"London, England"
3576,society
3577,Lahore
3578,"the valley, tx"
3579,Nigeria
3580,society
3581,", "
3582,"Kaduna, Nigeria"
3583,India
3584,"Westminster, CO"
3585,Maybe home 
3586,"California, USA"
3587,Nigeria
3588,South Africa
3589,"Karachi, Pakistan"
3590,Al Shahama الشهامة
3591,World wide
3592,Kentucky
3593,society
3594,"Austin, TX"
3595,South Africa
3596,"San Antonio, TX"
3597,A last leap
3598,"Portland, Maine"
3599,github.com/Xtremilicious
3600,India
3601,"Vienna, Austria "
3602,"Quetta, Pakistan"
3603,Ghana
3604,"Rome, GA"
3605,London
3606,"Winston-Salem, NC"
3607,"Chicago, IL"
3608,"New Delhi, India"
3609,Famoso Raceway🏁
3610,"Forsyth County, GA"
3611,"Lagos, Nigeria"
3612,"Karachi,Sindh Pakistan"
3613,Gurugram
3614,Dinar World
3615,"Groningen, Nederland"
3616,"Weslaco, TX"
3617,Sivaganga-Tamilnadu-India
3618,"New Braunfels, TX"
3619,South Africa
3620,Delhi
3621,Sri Lanka
3622,KD/Lagos  Ơ̴̴͡.̮Ơ̴̴̴͡l
3623,"Attleboro, MA"
3624,oakland | ca
3625,"Edinburg, Tx"
3626,"The South, but not Dirty"
3627,"Tampa, FL"
3628,"New York, USA"
3629,Jinnestan
3630,"Kent, UK"
3631,Douglas County Oregon 
3632,"Rajasthan, India"
3633,WAHI JAHA 4G KI KAMI HAI😁
3634,CLE
3635,w/ annie
3636,NRW
3637,Raxacoricofallapatorius
3638,"Texas, USA"
3639,"Life Camp, Abuja"
3640,"Curitiba, Brasil"
3641,"Florida, USA"
3642,Delhi
3643,"England, United Kingdom"
3644,Namjoon Cheated On Me😭😭
3645,los angeles
3646,Goa
3647,"New York, NY"
3648,"Nyamira, Kenya"
3649,"Los Angeles, CA"
3650,Pune
3651,"Liverpool, England"
3652,", "
3653,surviving
3654,"Birmingham, England"
3655,"Bronx, NY"
3656,", "
3657,Snapchat/Instagram: basedasir 
3658,seo joon 
3659,"Arizona, USA"
3660,Ghana
3661,", "
3662,NewYAWK! 
3663,Jamaica
3664,somewhere in LA area...
3665,"Alexandria, Egypt"
3666,Lebanon
3667,"Millis, MA"
3668,"Nairobi, Kenya"
3669,United States
3670,"Charleston, SC"
3671,Texas
3672,lake travis
3673,TEXA$
3674,"Fort Polk South, LA"
3675,Safe @ Home 
3676,"Mumbai, India"
3677,Earth
3678,"Brussels, Belgium"
3679,TPA and SF
3680,भारत
3681,"Abuja, Nigeria"
3682,jupiter
3683,"Ile-de-France, France"
3684,Deutschland
3685,"Miami, FL"
3686,Planet Earth
3687,Some place not burning
3688,Canananada
3689,"Pittsburgh, PA"
3690,"Dallas, TX"
3691,"California, USA"
3692,frank’s house
3693,", "
3694,"San Bernardino, CA"
3695,"Akron, OH"
3696,San Diego
3697,"Jackson Heights, Queens"
3698,Fruit Ninja Lite iOS 2006
3699,"North Carolina, USA"
3700,"Ventura, CA"
3701,"Multan, Pakistan"
3702,"Birmingham, England"
3703,Sweden
3704,fading outs༼ つ ◕_◕ ༽つ.  Vegas
3705,"West Sussex, United Kingdom"
3706,Florida 
3707,Mzuzu
3708,Georgia
3709,"Quetta, Pakistan"
3710,instagram.com/JadaPoetryyy
3711,Poland/GS Forum/anywhere FS is
3712,"Weslaco, TX"
3713,fa
3714,"bhopal,india"
3715,The Great State of Texas
3716,"Michigan, USA"
3717,I.E. -Cali
3718,in my bag \U0001f92a
3719,"New York, NY"
3720,in the clouds .. ☁️
3721,"Jaipur, India"
3722,"Port Elizabeth, South Africa"
3723,jazbaat
3724,Texas Resistance
3725,evolving 
3726,"Michigan, USA"
3727,California
3728,4 Privet Drive
3729,The Town
3730,"Colorado, USA"
3731,"Abuja, Nigeria"
3732,probably  🛁
3733,tx 
3734,With my heart\U0001f9ea🔋
3735,"Federal Capital Territory, Nig"
3736,"Pretoria, South Africa"
3737,Republic of Wadiya
3738,315
3739,mars
3740,"Wisconsin, USA"
3741,"Silver Spring, MD"
3742,"Bisbee, AZ"
3743,بيروت - لبنان
3744,"Lagos, Nigeria"
3745,NC
3746,Oqaat
3747,NC
3748,land of enchantment 📍✨
3749,Back in CA after a stint in TX
3750,Karachi
3751,"Michigan, USA"
3752,Military Brat ♪ Love Traveling
3753,"Weija, Accra"
3754,300 Blocc in dem trenchez
3755,"Lewiston Idaho from Kenai, AK"
3756,"California, USA"
3757,United States
3758,"Itomori, Japan"
3759,"Edinburg, TX"
3760,"New Delhi, India"
3761,"Rawalpindi, Pakistan"
3762,"Wisconsin, USA"
3763,chepstow
3764,NH
3765,"Chennai, India"
3766,coventry 
3767,San Francisco
3768,"Cape Town, South Africa"
3769,"ÜT: -0.471108,117.1443248"
3770,"Alice, TX"
3771,"Mayagüez, Puerto Rico"
3772,"Lakeland, FL"
3773,"Amsterdam, Nederland"
3774,North Miami Beach 
3775,Melbourne
3776,Sweden
3777,LA
3778,"Dallas, TX"
3779,Akure
3780,Germany
3781,"Tennessee, USA"
3782,Kurdistan
3783,Germany
3784,"Lagos, Nigeria"
3785,Leblanc 
3786,"West Bengal, India"
3787,"Chipping Norton, England"
3788,North Miami Beach 
3789,AL SUR DEL MUNDO
3790,"Houston, TX"
3791,A Faraday cage
3792,United Kingdom
3793,running to secure a future
3794,"Newark, NJ"
3795,"Yelm, WA"
3796,New Zealand
3797,Boyolali
3798,University of maiduguri
3799,w/Skye
3800,Republic of Serbia
3801,saatve aasman pe☁
3802,"Jacksonvile, FL"
3803,"Sindh, Pakistan"
3804,Emirates.
3805,"Silver Spring, MD"
3806,NY-21
3807,"Michigan, USA"
3808,"Ottawa, Ontario, Canada"
3809,"Minnesota, USA"
3810,chicago
3811,florida
3812,"Gig Harbor, WA"
3813,"Córdoba, Argentina"
3814,"Burgersfort, Ga-Motodi "
3815,Peoples Republic of Nambia
3816,"Kempton Park, South Africa"
3817,"s Jannat"", "
3818,Hou$ton
3819,Your Internet
3820,"New York, NY"
3821,✈ YVR / YUL
3822,"Abuja, Nigeria"
3823,polish mother
3824,"Orlando, FL"
3825,"Saskatoon, Saskatchewan"
3826,Chicago
3827,"Karachi, Pakistan"
3828,kampala
3829,Chicago
3830,the waste
3831,Planet Earth
3832,Turn on my Notification 🔔
3833,"Ambur, India"
3834,Earth
3835,South Africa
3836,LBK
3837,"Fourways, JHB"
3838,Midrand
3839,London
3840,Bahrain
3841,#TeamNoPerm
3842,Parts Unknown
3843,Planet Earth
3844,"Charleston, SC"
3845,"नई दिल्ली, भारत"
3846,"Massachusetts, USA"
3847,Philthy
3848,In your head!!!
3849,New Delhi
3850,"England, United Kingdom"
3851,Siwa
3852,New Orleans
3853, Down under 🇦🇺
3854,"16, She/Her"
3855,South Africa
3856,México
3857,Jabalpur
3858,under bitches skin
3859,Beach Town (Night)
3860,"Deventer, The Netherlands"
3861,"Chicago, IL"
3862,India
3863,Ireland!!
3864,Nunya Biznez
3865,Everywhere
3866,"Phoenix, AZ"
3867,"Lombok, Indonesia"
3868,Inside my mind
3869,"Utah, USA"
3870,under bitches skin
3871,TR İzmir
3872,Jeddah/uk
3873,"Connecticut, USA"
3874,Pennsylvania
3875,Texas
3876,"Nairobi, Kenya"
3877,"Windhoek, Namibia"
3878,gujarat
3879,"Manila City, National Capital "
3880,"Not heaven, but Texas."
3881,Saturn 
3882,relocating soon
3883,"Southampton, England"
3884,"Akwa Ibom, Nigeria"
3885,North Rhine-Westphalia
3886,Happy with KJS🍯🖤💕
3887,USA
3888,Mumbai
3889,6ft. below the ground
3890,United States
3891,India
3892,"Toronto, Canada "
3893,"Falmouth, England"
3894,لاہور
3895,Singapore
3896,Broward County  
3897,"Chennai, India"
3898,"Orlando, FL"
3899,Texas Made me
3900,"International Falls, MN"
3901,Princeton
3902,"Block Island Wind Farm, RI"
3903,Motown
3904,"Tamale, Ghana"
3905,Belgium
3906,United States
3907,"Cheese Sticks, TX"
3908,htx. 🤘🏾satx. 👩🏾\u200d🎓
3909, Sole down on Terra Firma
3910,Between them white lines 
3911,Upandaway
3912,"Attleboro, MA"
3913,"California, USA"
3914,Surrey and London 
3915,United States
3916,Da Clair 
3917,"Columbus, OH"
3918,"Missouri, USA"
3919,Nigeria
3920,"London, England"
3921,yooniverse ⟬⟭
3922,Halesowen
3923,"Greater Accra, Ghana"
3924,"s pocket"", "
3925,gekyume
3926,"𝕤 💖"", "
3927,Witbank  South Africa
3928,Cymru / Wales / Europe
3929,"Atlanta, GA"
3930,Daniel 11:32b
3931,world
3932,Cyprus
3933,Somewhere NOrth Jersey
3934,"Surprise, AZ"
3935,United States
3936,Golfing with Thurnis 
3937,"Lahore, Pakistan"
3938,Alberta Canada
3939,"Lagos, Nigeria"
3940,the streets
3941,WORLD
3942,"Johannesburg,South Africa "
3943,Jersey 
3944,Katrine Veje is underrated 
3945,"Cheltenham, England"
3946,Rapperswil
3947,UNDAH THA SEA!
3948,United Kingdom
3949,"Lagos, Nigeria"
3950,"Atlanta, GA"
3951,A floating rock
3952,highway to paradise 
3953,hogwarts
3954,"Phoenix, AZ"
3955,"Charlotte, NC"
3956,Barbados
3957,belgium • 18 • they/he
3958,Lost
3959,"Chicago, IL"
3960,tino ♡
3961,World
3962,"Washington, DC"
3963,"erie,pa"
3964,"Anklav, India"
3965,inside Life
3966,"Scotland, United Kingdom"
3967,"Houston, TX"
3968,Turn On Notifications
3969,"La Reina, Chile"
3970,🖤
3971,Kenya
3972,"Tilburg, The Netherlands"
3973,"Southampton, England"
3974,", "
3975,", "
3976,"University Heights, OH"
3977,"Mesquite, TX"
3978,"Noida, Uttar Pradesh"
3979,"Cochin, India"
3980,Dublin
3981,On Earth
3982,"Odessa, TX"
3983,181006💜 ly world tour 
3984,Cambridge
3985,Jannat
3986,memphis
3987,🌙
3988,"Lagos, Accra, Pulau Ujong"
3989,"San Antonio, TX"
3990,"Cambridge, MA"
3991,Abuja/Lagos (Nigeria).
3992,It varies
3993,New York
3994,قم ، شهر شیطان
3995,United States
3996,الاتحاد 🖤💛
3997,"Monterrey, México"
3998,troposphere 
3999,Llj🔪
4000,Minneapolis
4001,954/813
4002,Indonesia
4003,"USA , India"
4004,"Kaduna, Nigeria"
4005,"Syracuse, NY"
4006,PHX
4007,"Chicago, IL"
4008,🌍 
4009,Lahore Pakistan 
4010,"Durham, England"
4011,"Punjab, Pakistan"
4012,🇰🇼🇵🇰
4013,Sawalon me
4014,Kuwait 🇰🇼 
4015,"California, USA"
4016,"Mumbai, India"
4017,"Bangalore, ಕಾವೇರಿ ತೀರದಲ್ಲಿ "
4018,Doha/The Sky
4019,"Dallas, TX"
4020,"Accra, Ghana"
4021,India mostly
4022,"New Delhi, India"
4023,", "
4024,"Tamil Nadu, India"
4025,quarantine me he apun
4026,"Attleboro, MA"
4027,"Bengaluru, India"
4028,baekhyun lovebot \U0001f90d
4029,USA
4030,"miami, fl"
4031,"Dallas, TX, USA"
4032,"Massena, NY"
4033,"Bengaluru, India"
4034,"Las Vegas, NV"
4035,"Copenhagen, Denmark"
4036,PAKISTAN
4037,"Dallas, TX"
4038,Maryland
4039,South Hill WA/ EC!
4040,"Antwerp, Belgium, Terra"
4041,World
4042,"New York, USA"
4043,Mortville
4044,"Chicago, IL"
4045,"Dubai, United Arab Emirates"
4046,"Bengaluru, India"
4047,Hoe-adjacent 
4048,PlayaUnión-Córdoba
4049,"Kentucky, USA"
4050,Australia
4051,"London, England"
4052,"Los Angeles, CA"
4053,#AuditTheFed
4054,Texas
4055,888
4056,"Beverly Hills, CA"
4057,world 
4058,London 
4059,"Chicago, IL"
4060,Shillong
4061,"Phoenix, AZ"
4062,Somewhere sleeping
4063,"Lagos, Nigeria"
4064,USA
4065,"Madrid, Spain"
4066,Louisiana/Dallas ⚜️
4067,🎗
4068,पाटलिपुत्र
4069,Bogotá
4070,"s dimple"", "
4071,Nor*Cal
4072,the dawg pound
4073,Pampanga / Tarlac / Makati CBD
4074,Texas   
4075,"Las Vegas, NV"
4076,"Wabigoon Lake 27, Ontario"
4077,IL-SC-IN-NY-MI & back to IL
4078,"Oregon, USA"
4079,"Lagos, Nigeria"
4080,"Greater Noida, India"
4081,"Mars Hill, NC"
4082,Coming to Pride near you! 
4083,Republic of the Philippines
4084,GHANA (ACCRA)
4085,"Kaduna, Nigeria"
4086,"Brisbane, Queensland"
4087,"Mumbai,India"
4088,11222
4089,"Dubai, United Arab Emirates"
4090,Baton Rouge Louisiana
4091,frankfurt. Germany
4092,"Bogor, Jawa Barat"
4093,"Mumbai, India"
4094,minding my own
4095,"Chicago, IL"
4096,"s Couch"", "
4097,Dholera Smart City
4098,Kuwait / Ottawa
4099,"Dhaka, Bangladesh"
4100,Vegas
4101,Vancouver WA
4102,"Bhubaneswar, Odisha, India"
4103,Germany
4104,"s Jannat"", "
4105,"Atlanta, GA"
4106,Gurugram
4107,"Boston, MA"
4108,London
4109,#Islamabad Bunker 
4110,"Abeokuta, Nigeria"
4111,fan-account
4112,"Louisville, KY"
4113,Gh
4114,", "
4115,Florida 
4116,"Texas, USA"
4117,"Lagos, Nigeria"
4118,Where ever I am
4119,LDN BN1
4120,"Milky Way Galaxy, leaving soon"
4121,"Kumasi, Ghana"
4122,"Nkoranza, Ghana"
4123,Healing myself in the desert
4124,Daman
4125,karachiiii
4126,"Chicago, IL"
4127,", "
4128,United Kingdom
4129,le🌚moon
4130,Minneapolis
4131,"Accra, Ghana"
4132,Not Found 
4133,NYC
4134,Third rock from the sun.
4135,"Columbus, OH"
4136,Badger Country!
4137,United Kingdom
4138,"Sisconsin, USA"
4139,India
4140,"25, she/her"
4141,"San Francisco, CA"
4142,"Valdosta, GA"
4143,"J10i2 Carmarthen, United Kingd"
4144,"Lahore, Pakistan"
4145,"Lagos, Nigeria"
4146,"Dubai, United Arab Emirates"
4147,", "
4148,Belgium
4149,"Tembisa, South Africa"
4150,"Anfield, NRG, Wankhede"
4151,"University Campus, New Delhi"
4152,"Richmond, VA"
4153,myob
4154,"Kumasi, Ghana"
4155,Permanently Mobile
4156,"Ohio, USA"
4157,🌿 she/her 31
4158,fema region V 
4159,"Ciudad Real, España"
4160,"Fort Worth, TX"
4161,"Belgrade, Republic of Serbia"
4162,"Ontario, Canada"
4163,"Islamabad, PashtoonKhwa"
4164,Norðrhálfa
4165,LONDON
4166,"Miami, FL"
4167,"East Java, Indonesia"
4168,MBB
4169,White Pigeon
4170,"Weslaco, TX"
4171,India
4172,"Texas, USA"
4173,Uwi Cavehill
4174,Imprisoned by a Dem Mayor
4175,Nirvana
4176,🌈✰💗 she/her
4177," Earth"", "
4178,"210, Tx"
4179,India
4180,alv town 
4181,"139 Queens Road, Leicester."
4182,Nederland
4183,India
4184,Somewhere
4185,Header by @debbiebalboa
4186,"Beyrouth, Lebanon"
4187,South Jersey
4188,Everywhere
4189,Germany
4190,"Lagos, Nigeria"
4191,"Chicago, IL"
4192,Republic of the Philippines
4193,Texas
4194,Behind a Blue Screen
4195,"New York, USA"
4196,"Nairobi, Kenya"
4197,"Fort Worth, TX"
4198,"A rising tide, lifts all ships"
4199,Mumbai
4200,भारत
4201,"Saint Peters, Missouri"
4202,"Ojus, FL"
4203,Croatia
4204,🇱🇧
4205,United States
4206,"Jawa Timur, Indonesia"
4207,India
4208,"Liverpool, England"
4209,↓join my epic server!↓
4210,"Kent, England"
4211,Warrington
4212,Uganda kla
4213,"Boulder County, Colorado, USA"
4214,"Texas, USA"
4215,South East
4216,instagram.com/tiise_
4217,"Johannesburg, South Africa"
4218,"Paris, France"
4219,Earth
4220,"Toronto, Ontario"
4221,CALL FREE NZ 0800 022 022
4222,south u.s
4223,Slough
4224,"Bilbao, Spain"
4225,Northern Ireland
4226,Kent
4227,Canada 🇨🇦
4228,Lebanon
4229,uk
4230,🇩🇯
4231,"Massachusetts, USA"
4232,"Weslaco, TX"
4233,Pluto
4234,"Fort Worth, TX"
4235,"Boise, ID"
4236,"South Carolina, USA"
4237,"England, United Kingdom"
4238,"Long Beach, CA"
4239,"Edinburg, TX"
4240,United States
4241,"Columbus, OH"
4242,🇺🇸
4243,PH 🇵🇭
4244,⚢ | she/her | balkan | blm
4245,"Noida, India"
4246,Canada
4247,Leeds UK
4248,"Hollywood, FL"
4249,bombay
4250,WonderLand
4251,Canada 🇨🇦
4252,ℭ𝔥𝔯𝔦𝔰 ♡
4253,Chromatica
4254,ntendo Switch
4255,"Dublin, Ireland"
4256,I dont have muchtime obamas la
4257,"Mountain View, California"
4258,Stockholm
4259,Naya Pakistan
4260,"Brooklyn, NY"
4261,Planet Earth
4262, छपरी बाजर 
4263,"Georgia, USA"
4264,"Pune, India"
4265,United Kingdom
4266,"Kansas City, MO"
4267,"New Delhi, India"
4268,Anfield (one day) 
4269,USA
4270,Ask Google
4271,Chennai
4272,cape cod
4273,Irlande
4274,Location
4275,"Kumasi, Ghana"
4276,", "
4277,"Niagara Falls, New York"
4278,United States
4279,"Dublin City, Ireland"
4280,"Hamburg, Germany"
4281,The Land of the Stranger
4282,ᗪIᐯIᑎIᗩ ᑭᗩᖇK
4283,India
4284,"England, United Kingdom"
4285,Kuwait
4286,"HI NC, Pitt PA, Gwd SC, CA, NH"
4287,"Miami, FL"
4288,"Slippery Rock, PA"
4289,nj
4290,🇲🇾 
4291,Pakistan
4292,"Karachi, Pakistan"
4293,"Chennai, India"
4294,islamabad
4295,"Gaborone, Botswana "
4296,Nigeria
4297,sweden
4298,The land of gurus and vedas
4299,"Nairobi, Kenya"
4300,United Kingdom
4301,"Lemuria, Atlántida"
4302,Misery Central
4303,A Coruña
4304,In Nola ⚜
4305,"No Love, Blvd "
4306,"Toronto, Ontario"
4307,"Fort Washington, MD 20744"
4308,zzz
4309,Seventh Plane Of Existence
4310,"Montréal, Québec"
4311,"Memphis, TN"
4312,United States
4313,Philadelphia
4314,Nigeria
4315,Planet Earth
4316,"California, USA"
4317,"Berlin, Germany"
4318,behind my keyboard
4319,United Kingdom
4320,07068377098
4321,"Berkeley, CA"
4322,"Accra, Ghana"
4323,Johannesburg
4324,svt mx got7 nctdream wayv
4325,"Maharashtra, India"
4326,Bay Area
4327,"Ballenita, Ecuador"
4328,UK
4329,"Houston, TX"
4330,Sunny So. Florida
4331,United States
4332,The Netherlands
4333,juarez
4334,Tx.
4335,he/they (20)
4336,"Dallas, TX"
4337,"Weslaco, TX"
4338,Kano
4339,", "
4340,ask paul scholes
4341,"Oswego, IL"
4342,probably palma de mallorca
4343,Georgia (NOT USA)
4344,♌️
4345,", "
4346,Heaven
4347,"Attleboro, MA"
4348,"Dallas, TX"
4349,West LDN
4350,don’t take my tweets serious. 
4351,The world.
4352,𝖤𝟣𝟥 • 𝖲𝖤𝟣𝟧
4353,"s Lake Cabin"", "
4354,Canada 🇨🇦
4355,Florida’s East Coast
4356,Adelaide South Australia 
4357,"Michigan, USA"
4358,"Kaduna, Nigeria"
4359,"Attleboro, MA"
4360,New York City
4361,s/h 16
4362,Are You Offended?
4363,"Los Fresnos, TX"
4364,Nigeria
4365,"Kano, Nigeria"
4366,USdoing 
4367,"Florida, USA"
4368,"Dammam, Kingdom of Saudi Arabia"
4369,Chief Enjoyment Office (CEO)
4370,"Lagos, Nigeria"
4371,🇬🇧 🇺🇸 🇳🇬  
4372,Nigeria
4373,"Calgary, Alberta"
4374,Newcastle usually. It varies.
4375,us america
4376,Nowhere Island
4377,"Karachi, Pakistan"
4378,Anxious
4379,"Kaduna, Nigeria"
4380,"Chiba-ken, Japan"
4381,411 East State St
4382,"Bozeman, MT"
4383,"Chicago, IL"
4384,Arewa
4385,Nigeria
4386,Kaduna
4387,"Minna,Somalia"
4388,"Mumbai, India"
4389,behind you
4390,Eldama Ravine
4391,the louvre
4392,"New Hampshire, USA"
4393,"Katsina, Nigeria"
4394,"Johannesburg, South Africa"
4395,Allah’s land
4396,"Cairo, Egypt"
4397,"stHELL, misery"
4398,"Bengaluru, India"
4399,"Katsina, Nigeria"
4400,"Chicago, IL"
4401,India
4402,Not here
4403,AHAFO KENYASI 
4404,"Jakarta Timur, DKI Jakarta"
4405,ot5/solo♡ 15
4406,Spanish Town 
4407,"Chicago, IL"
4408,ask paul scholes
4409,Chollo kingdom 
4410,"Chicago, IL"
4411,Indonesia
4412,Cincinnati Ohio
4413,"Alaska, USA"
4414,"Stafford, England"
4415,"Dallas, TX"
4416,"Chicago, IL"
4417,South Yorkshire
4418,"Bhubaneswar, Odisha, India"
4419,Oahu
4420,"21, nebraska, blm, she/her"
4421,"Atlanta, GA"
4422,"New Delhi, India"
4423,Southern California
4424,"Chicago, IL"
4425,Sweat pea
4426,", "
4427,Southern California
4428,"Texas, USA"
4429,"Delhi/NCR,Gorakhpur"
4430,"Los Angeles, CA"
4431,"Chicago, IL"
4432,"London, England"
4433,  provincia 16 de cuba
4434,"Detroit, MI"
4435,USA
4436,"New Trumpshire, USA"
4437,ᴡᴍᴅ x ꜱᴀɴᴅᴇʀ ʀᴇᴄʜᴛᴇɴ 💗
4438,"Lahore, Pakistan"
